mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,mfcc_61,mfcc_62,mfcc_63,mfcc_64,mfcc_65,mfcc_66,mfcc_67,mfcc_68,mfcc_69,mfcc_70,mfcc_71,mfcc_72,mfcc_73,mfcc_74,mfcc_75,mfcc_76,mfcc_77,mfcc_78,mfcc_79,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,key
-167.0202320148856,98.36021636307284,-40.6379832765028,-6.623047742257953,13.733989352890912,33.85571866375525,7.9412525217719265,12.51456175891828,23.95901949238532,13.89231784934484,10.105697393380249,21.527799795751484,13.110911679296828,2.104749254592732,-11.735649822774402,0.5296471038974151,-0.6666273617893836,9.059395468919844,2.7957797988023767,5.404517577848182,6.997311073189702,-2.9921207554471474,-5.029533383981335,-1.8118358818783364,-1.98695286576218,5.241199474375359,-8.316957731337418,0.431374529548205,-2.546641023143144,4.818312821129952,7.034495664660699,-2.3111923334951734,3.873901290472205,7.591976562317612,-0.1864135390273597,2.2221770910638496,1.473062894579654,0.8180806247425074,1.41112873894978,3.3228789367216804,79.85631125125549,7.625467504192179,34.07157578096046,7.402185505615983,13.202188735813833,1.903133747572732,5.707645827282055,3.5080320141040167,8.873880196656952,2.5205244171221284,6.293696257656206,3.651431140440543,4.504658229753385,1.83321594369528,7.271355789274803,2.9924849702391745,6.3682139621514935,1.8346741850658583,3.0485182034928195,1.4821058525413555,2.4351938018153114,2.9455780118108232,2.7105925168668974,3.0894618891576493,3.007175984713061,4.436304328952293,2.737423503447429,4.809099402787996,5.63367624279136,4.302619994653249,3.689608026300156,4.073930481006657,4.933110590779596,5.254802366692037,3.063154854233636,2.8512943552270404,1.7529623254910542,1.489231589800205,2.2116293194436065,1.9496361382566951,43.85872052513138,4.444149321625392,54.15315816822037,10.852958093966972,102.55,25.720808696462093,0.04541015625,0.0182253879081981,a
-173.59221042979777,94.06749081509857,-42.35811756926182,-6.270454759364576,13.652198866354516,31.5597923182458,4.525108801325804,8.454552640235322,20.723794128976124,8.982024165966626,5.447266992046604,16.872647683085876,15.754779061570428,10.237708046909574,-8.376198305792984,1.638300840100267,-3.0339158278033,10.113529362905744,0.9241360383784972,3.6904595209427713,6.873046419364161,1.1639381054922082,3.3185738883293623,0.6781162111640091,0.3028848262370921,6.172185341019976,-4.0020341961319135,0.7949317823965834,0.5756659325136193,11.929013360130574,6.873982069960758,-4.04294150486361,1.5299781536746404,2.6093432785963246,-2.079860430581748,-1.2945163206566366,-1.954527090345651,-1.4939236852070077,-1.5826190553570512,-0.033995152749271,81.74650971486784,5.771179112194944,33.29140179616959,7.136704037239193,13.975917378580224,3.1032572201932207,7.875113925361682,3.882869009317482,9.108490733538668,7.509767809048372,8.6602114484675,3.9964587288731743,2.918756543031121,3.907366206984213,8.925498843915976,2.6672566508792066,5.486455579188188,1.4585183880304906,1.721232430524851,2.709847803755253,3.432861880276409,2.536095877442294,1.5454843852088291,3.966332288310405,1.844842638186477,7.062252679100871,3.601179667069783,0.836677786490976,6.068771821835568,4.206193715027576,3.438547714983164,4.395434226546936,6.934446494356411,3.7077372193558777,1.9290432798260173,2.21663526452496,2.190326696895118,1.967025815203444,0.8716765006118055,2.414250480687904,47.49311995899713,6.550229022380765,55.59249287557829,11.658121649509406,110.5,31.373157316406648,0.044140625,0.0148122352544246,a
-164.598148503315,87.5114482400699,-50.91493008453401,-4.10034978943618,16.919512309101897,29.859503289205424,9.444779295625608,12.883417840761169,19.35697698328645,16.798633232735153,6.848925917256993,17.712413091161658,19.170671805089547,2.1621478963041185,-13.926685329358223,3.955309236908954,1.207202456537051,6.394984208433714,3.9736711048261326,8.775452103262605,6.211870910665341,3.049089942817329,1.8854630053103505,-5.295574314122318,-4.102376846085231,9.874418055013049,-6.206802015335957,-4.190487869236845,0.0207132578394982,5.810506496452743,5.00095547168867,5.170067686641369,-0.9387873057435524,2.3979748576755298,5.347616029944298,-2.08643817886295,0.4135203436149209,-0.4826783226969252,-5.422828314081846,1.4558455206011487,85.4299159498773,8.114105852405899,31.755635517441124,7.305654839413447,12.027573323936886,3.0099458521354245,3.0952698441579822,3.606934395742091,6.628119245380039,8.329507185777986,3.935126207715259,1.685063132396199,1.0878184332898313,2.4797655826908565,6.923999908615079,1.929307057095792,1.77598109545186,3.0247504134027627,2.271813663233812,1.099993029440703,3.0701853520291573,1.853182174624864,4.094667722820061,3.61229158791888,2.7841357198643,6.479397410605854,2.592820734907014,2.8605731447721983,1.994327212046348,4.188899171647143,1.5886178727470004,1.488037608747718,2.777914401438668,3.1587959818342592,4.006828371638599,4.465546216206704,1.0714589889222317,1.9784513165542688,1.422604005984587,2.0367585268406407,48.13080482331541,8.583963605545097,53.815405518129545,12.010878008328293,102.55,35.98798410580954,0.03759765625,0.0108833060279336,a
-145.93526994894327,93.76388958750474,-39.09748055647934,2.5871565838241253,11.35440945502736,32.86447549979077,8.096476669891766,2.581139582785396,15.9098939466471,5.594463312791309,11.10359139403047,17.478760873593288,16.78839431393332,4.0195947244583214,-7.673245202211461,6.234713214431891,-6.5786174224979606,10.045119748207096,4.126584579800925,0.5459957501927685,8.347852699175126,5.902410660326363,4.1019430168780735,-0.2745163638109321,-3.744799627971185,6.747078096175055,-11.500190537280355,0.2951548492162655,4.984290563361426,5.7667850525474655,7.4907631449375485,-0.6379187125462045,-2.003226165927658,5.278311528471381,-1.070331465826299,2.0802184738136726,2.2581603385934232,1.8253646700877744,0.8452873868478005,1.8806545450640624,69.28166143529354,5.512842021494477,33.171263770547604,3.279281455978778,14.362417156158005,5.7770979592761975,4.614775079188737,4.944047188933582,9.127975753431771,3.8419354389461127,9.67802700744302,5.671920766703046,5.421153050405105,3.158440309735426,4.91696903490805,3.1643118473878813,10.503671055383546,1.7001021506214404,3.94951173108068,2.656645387217112,5.674544122861537,3.362033982516462,2.276347435462496,6.764582278793755,5.506667619855723,5.911575637350716,5.446664781018068,2.246768799584512,2.8886484641222285,1.7616603103210209,3.434429666138547,3.330668375231143,2.1620363659981345,6.615798894122278,2.020552539927524,1.5033446839726945,1.919474367578123,1.390208298925893,4.611014353567465,2.628405586863835,45.73218307076577,2.680763931136688,55.21872033538629,9.734639837980064,109.0,13.89874095017243,0.015234375,0.0082944599092133,a
-167.87173250693576,89.166229163752,-44.85561336194532,2.1755598864832946,11.039016973692174,36.2504062475842,8.157625894760214,5.113010420235812,18.666231470147228,9.0894916811778,15.176529808512816,18.02851778212409,16.43741754067989,4.333822769072216,-8.655108341104503,5.333700492027163,-9.456952652418348,10.384719145623048,7.220294305721434,1.538855794012281,7.670535620150192,4.545474816790765,0.0178942548387624,-6.707128140229267,-2.378952023306466,7.15556936761635,-13.711452029531568,1.4140840507347368,1.4534822446921347,4.262317356912845,7.668591867596982,-2.642014224898257,-1.932257587855025,5.714266283654941,-4.193964869116843,0.1057057689503866,0.3566451206681556,0.3431236803148614,-0.4412055769357076,0.358407878145055,76.39933474807138,4.371202795604399,31.333362923722927,4.118540163310955,19.3556208439134,4.148471778229704,4.907397491490215,6.585312458100884,6.505863206495325,3.895916627819518,8.295780041302276,3.807065100089799,4.345415705128108,3.963346302478186,3.6705026702306345,4.407259845560046,10.212433876049836,2.4272635905963407,3.280015254558407,4.485687602548237,3.685617496540385,4.143300825672542,4.579507964771935,5.160796045078708,5.438173010400098,2.144185830832273,6.421941083709818,3.499452439111748,3.194456106089127,2.3120282620900663,1.808646789316389,3.1516889838403768,0.9397493479171312,6.000253299005858,1.777152579121748,2.193628559216352,4.428239530517495,2.963174767442076,1.5985741112915737,1.247648662844911,49.23903333077006,5.20982565175582,55.19457478845982,11.083035450430163,116.3,19.685908665845226,0.03671875,0.0105106437867763,a
-160.867995202725,86.56611394922544,-44.56629451845581,-0.4252428170470242,8.318826091058757,34.391330868429634,8.507295456462666,3.278979330475998,18.46309979026448,9.20690763460392,12.189859086630053,18.301616156536888,20.62032568900129,7.224647353001375,-8.996966803003493,5.80522140570534,-9.026773980457708,5.0804305345485234,7.736499957011563,0.8904071574984307,5.805475510720052,5.492736712236038,-0.7496351383943598,-7.310176689450238,-3.954784915007633,10.79236257611721,-14.476280767640102,-0.2694119874925428,2.716248794243201,1.158136008920867,2.228509595465248,-4.783542469250704,-6.410517496420982,5.714411007485163,-4.171061685629107,0.0180223828055822,3.618509506469629,1.5123951834580258,0.0722222989759987,2.583110000442276,80.03288123187613,3.9272684289053377,30.31162404314262,2.943127044327363,16.191639926824713,2.446854141305566,5.227139188685958,6.575122427258297,5.742771008884307,5.064818584811829,11.633339105110853,3.842387784119246,3.084557949900621,2.3750838790143765,4.31956407095776,2.176804169866065,8.11012419332691,1.374466325441986,2.825371093558401,4.805625608416222,3.798519168013722,4.2803322369970696,4.3859614532627536,5.112527177097732,6.447221816766543,3.690315504963594,6.527398252979281,2.229125669758328,3.61158737378016,4.559109778414491,2.9229412462004576,2.13675220918053,2.864531134478305,6.354071934569173,1.273411595179504,3.821153473200164,4.758535655762049,3.601252444858924,2.9919353621518674,2.546129926220088,51.572329209756006,4.430464776895007,55.91663982919714,10.3180394856604,119.3,18.92445507802008,0.041796875,0.0131875717378084,a
-120.36915996893951,108.56611526859685,-28.89166896023234,8.589460719629045,12.025945087246589,30.11003966243741,7.001851994362123,7.284195032468706,17.670993511434155,8.949056501587219,13.766278147715932,13.64072271495154,14.306587221043207,7.353406096920819,-3.7437328169756654,6.242128328407514,-6.061343491172853,7.386521018095894,7.914453222008577,1.9777180814747628,9.931651067841187,5.5855087289686,4.327624070835919,-2.022395284725631,-0.8604148736183159,7.850265586393485,-6.349026429097598,2.21804736564875,3.767833426407037,8.324436333023574,8.442003717090264,-6.390873143780659,1.7267150979467525,6.728860172891461,-2.290189310182301,3.8090899979595534,2.295434193786793,3.7192932526975313,1.0742281499226682,1.0943904934400626,32.320735464622494,10.039479495594716,37.49933055252389,9.032516191721466,7.998795574065205,11.247504908926572,2.929656156606004,4.987192023351869,7.176100108594157,3.482335299647345,7.668834203387119,5.1975410863260345,5.186402550966725,2.9765100865644967,5.265177034925275,3.1044757407867563,8.610691886569631,2.7083917847227608,4.421038627184846,3.029268232643694,6.175015130851137,3.301881854368921,2.136322054409655,4.528408679763347,2.6745825112372863,4.643248022018174,5.79203753231322,1.4331307272833402,2.192831180488689,4.11683884392955,5.348244323836055,5.836706386328892,1.1424204305998813,4.899551262801774,2.7257419186525533,1.3074077395161885,2.0520214915786505,3.2335269064161287,2.764808205688387,0.5917478460776435,36.37752137486405,2.942207403237455,51.73428707934281,6.967979245392135,85.3,5.859607495387383,0.008203125,0.0034993111068689,a
-166.06412550338072,86.68291209646695,-46.70323155152423,9.008877352561123,9.13446756997168,34.63688928640072,10.595309076755484,4.712963361409564,20.80137362728572,10.74333713348049,14.070251128153,16.802592348397404,18.258023002898035,4.579765536575175,-9.485690057500127,10.903944973599035,-8.613275092710534,4.305150375969158,2.7113419060080366,2.815561120140337,4.876289413719792,-0.1402215552769096,3.503985837608642,0.5030290100947605,-5.0636889694869085,12.705054174548955,-12.19817692239122,1.1819496910590703,3.921987548081102,4.383324083393452,7.583267923211681,-3.6872292263173065,-0.7464064029925851,8.539264183285862,-5.338338632951166,3.748194834107769,0.4124879190426056,1.1019303235858406,1.901757796958001,0.5813363722968434,82.34894862240307,7.317264996481436,31.798507102085715,2.178147716145785,16.567861557916288,2.166775862939093,5.2285719038528615,6.186283899085876,5.950223381146067,7.689381535436979,10.119012198749884,2.64380166204814,2.7782612074008832,1.6074524943541804,4.850279214686418,3.2117367506083947,7.518862055820762,1.938212368902466,2.097738357073497,2.1883026126585365,3.222042228722374,3.300828985591785,2.5420859498442785,6.252492626776994,7.825674664268866,4.0837202268593495,5.315121420557677,2.7927973291670605,1.879611826924464,1.583183839157011,2.040639726121903,2.120168521712371,1.182359783498212,5.626182927202287,2.282159129294389,1.1186685635262434,1.0478257827025803,1.1947705498512748,2.148708646219395,0.8765618205744067,47.62707395915466,5.40318681955239,53.41328666345579,8.286406768441944,106.9,6.997499553411918,0.03173828125,0.0130106568305412,a
-152.48155676191976,89.5119612568,-43.08105196096241,5.535810246999043,11.731589211567783,34.35497559581347,11.586373511793983,4.935567054645252,20.481833936188306,10.707860729937789,7.72434889559001,17.97897012900712,17.513155167214222,1.7596005256684315,-9.395050830435691,9.394190250338328,-8.931257093034882,0.2143045849131763,6.545077225885125,1.597496950189054,8.6743241684735,2.540611699346353,3.480195117934666,-0.8886059613916991,-2.218643621228281,11.516699890098694,-9.533939011933263,1.3642513279820023,2.5939092850856005,1.174317447144149,6.2126088186143225,-0.615226404909485,-3.795489912953143,11.854749883358773,-3.490917386107127,0.0098232520018525,3.660944376899681,0.7348492538612696,0.7096756928096234,-1.860121454649322,74.35809535614119,3.65326718822758,31.48450945201382,3.163944212592498,16.79791404467262,3.642946905090426,4.176313412171726,6.567984604678121,8.335812161728178,5.482079772413084,8.121063578407798,4.082862680711517,3.111555462709141,3.068404584036745,5.920258583883382,3.836934562427144,9.04630460803066,1.1545656878425146,4.831691093052954,3.632209689475999,3.660098948531086,2.2241634540474347,3.678685784604432,4.40908511495103,7.266097721310981,6.142447202465837,9.434321905536834,3.504252504795108,2.6736806164526845,2.024572616122791,1.7288681778125097,3.010279217411066,4.572215068422893,5.637915251742876,1.7163847643966674,1.2434388805972811,4.649564294975257,1.4976692473256688,2.312749551595147,2.2610370544661653,47.64477155118352,2.7720037672774844,54.64964531556721,9.69350125070681,109.45,14.43641229668923,0.02216796875,0.0089428814245649,a
-121.04318369777486,96.39718711503676,-14.55639775609772,8.083654847994207,-2.0177051111253625,23.73004503539789,12.916998743097595,10.556008956116994,18.95797960478047,12.58893278812118,7.095844106405058,3.0276095400458303,13.30577879100926,14.142597057033276,-6.769582330037859,3.0517068719183444,-1.5322261440790237,5.337042338134782,8.98353501462429,5.043812798852204,7.888454287980787,3.013705948182166,-2.22763791266103,0.899862686596169,2.505978138947909,6.287524287971065,-5.152085456416417,-2.28853319599068,1.4113697060989856,9.502851258757458,6.825798018119096,-1.194514706100355,-3.172904687136252,5.951103739631611,2.9774154525816687,1.4987104944911542,2.027188660075188,0.9925923235769848,2.611359112157899,1.1544971829307935,47.43680952982296,8.13017880167188,33.566975393417785,8.854282784249325,15.701468479649606,6.826418835559185,2.0972973160080315,3.7594158658962775,8.99432813202636,6.522430571427568,4.738776374624093,2.552605789342657,5.113237804601556,3.8447910801362166,9.064620562918538,1.6073571711637085,3.633024083502546,2.541668068367402,2.383724020751715,2.505272280275432,5.0209975365680775,3.971232915116544,2.9983501315561503,1.013177009909538,1.9283132758813148,4.8581773217018505,4.067314136116867,2.673800134341509,0.887084192538046,2.33673448723724,2.372053465820809,2.171679189771704,2.674369677633157,2.107260759448443,2.333882090594724,1.4384382790765435,1.7157075172933975,2.505253819332434,2.6293175530766284,3.316030535264473,41.47889337424884,5.739463735410488,56.67116921772574,6.25542346512487,101.8,3.222576608864404,0.0099609375,0.0060325957857345,a
